# eV       3       5           7.5         10         15        20          30        40        50 
10        3.602    20.877     52.704      65.440    67.685    69.737      76.541    79.567    77.774
15        2.327    16.610     45.309      57.490    58.609    57.934      59.165    58.358    54.698
20        1.517    12.966     38.009      49.320    49.776    47.252      44.508    41.222    36.752
25        1.120    10.003     31.049      41.168    41.269    37.667      32.398    27.778    23.253
30        1.076     7.762     24.684      33.327    33.243    29.209      22.688    17.659    13.593
35        1.319     6.243     19.137      26.094    25.889    21.916      15.178    10.429     7.131
40        1.776     5.408     14.574      19.726    19.380    15.807       9.623     5.615     3.221
45        2.370     5.175     11.075      14.409    13.850    10.868       5.728     2.703     1.206
50        3.025     5.423      8.632      10.238     9.378     7.046       3.178     1.190     0.474
55        3.667     5.998      7.143       7.204     5.970     4.248       1.658     0.615     0.496
60        4.229     6.731      6.434       5.211     3.572     2.359       0.886     0.597     0.858
65        4.655     7.450      6.275       4.085     2.070     1.236       0.620     0.839     1.271
70        4.903     7.999      6.414       3.600     1.306     0.724       0.667     1.137     1.564
75        4.951     8.252      6.609       3.515     1.096     0.663       0.883     1.373     1.670
80        4.791     8.126      6.649       3.593     1.245     0.898       1.164     1.494     1.592
85        4.437     7.594      6.392       3.641     1.573     1.286       1.440     1.498     1.377
90        3.920     6.683      5.768       3.523     1.925     1.706       1.664     1.410     1.091
95        3.283     5.472      4.796       3.174     2.188     2.064       1.811     1.264     0.795
100        2.583     4.089      3.574       2.610     2.297     2.296       1.865     1.093     0.533
105        1.881     2.691      2.271       1.916     2.241     2.376       1.825     0.918     0.330
110        1.237     1.453      1.100       1.233     2.053     2.305       1.695     0.747     0.189
115        0.709     0.547      0.293       0.734     1.806     2.114       1.489     0.584     0.099
120        0.343     0.122      0.072       0.603     1.595     1.854       1.230     0.428     0.045
125        0.173     0.290      0.616       0.998     1.519     1.586       0.942     0.282     0.014
130        0.214     1.112      2.037       2.037     1.669     1.374       0.658     0.156     0.001
135        0.463     2.586      4.366       3.771     2.106     1.272       0.408     0.062     0.007
140        0.901     4.652      7.535       6.173     2.857     1.317       0.217     0.014     0.043
145        1.490     7.188     11.388       9.138     3.904     1.520       0.103     0.022     0.118
150        2.181    10.022     15.684      12.487     5.182     1.869       0.070     0.086     0.239
155        2.913    12.949     20.125      15.987     6.594     2.325       0.111     0.199     0.401
160        3.625    15.749     24.379      19.368     8.014     2.832       0.204     0.343     0.589
165        4.254    18.199     28.111      22.354     9.303     3.323       0.323     0.494     0.780
170        4.747    20.108     31.023      24.696    10.335     3.733       0.436     0.626     0.945
175        5.061    21.319     32.873      26.188    11.001     4.003       0.517     0.716     1.057
180        5.167    21.731     33.504      26.698    11.230     4.098       0.547     0.749     1.098
